movie_name,post_data,likes,date posted,post_text,sentiment_score,AboutMovie
Avatar: The Way of Water,0,2022-11-10T14:04:00.000Z,==== Cliff Curtis ==== 48: The Last Airbender 222: The Insider 360: The Piano SF-163: Doctor Sleep 4??: Avatar: The Way of Water,0.0,False
Avatar: The Way of Water,0,2022-11-05T22:30:36Z,I dunno man The Great Santini was kind of abusive...  (Sam Worthington in @nytimes on Avatar: The Way of Water.),0.7,True
The Batman,0,2022-03-31T15:41:44Z,"My son who is 17 by the way reported he had a dream in which I opened his bedroom door and woke him up.  And when he actually woke up he realized ""hey that was Batman.""",0.0,False
The Batman,0,2022-03-31T13:55:50Z,Modernised the team profile for #dccomics' Force of July obscure opponents of #Batman and the #Outsiders. https://www.writeups.org/force-of-july-dc-comics/,0.0,False
The Batman,0,2022-03-31T00:13:24Z,All these memes about the dark knight getting darker out here acting like the Lego Batman movie didn’t slap,-0.075,True
The Batman,0,2022-03-30T04:06:54Z,Know what’s great?  Watching the old Adam West Batman as it was intended: two episodes a week one night apart each.,0.45,True
The Batman,0,2022-03-29T17:00:15Z,Modernised the character profile for #dccomics' Lady Liberty an obscure 1980s #Batman & the #Outsiders opponent. Should prolly have done the team entry for the Force of July first though. https://www.writeups.org/lady-liberty-force-july-dc-comics/,0.25,False
The Batman,0,2022-03-29T14:58:40.000Z,Still wondering if @cineworld will have some promotional stuff to purchase besides the 4DX poster for Sonic 2. Like a soda cup such as the one they did for The Batman or a popcorn bucket (both would be nice),0.3,False
The Batman,0,2022-03-29T00:49:42Z,That Riddler tweet has made me realize how few Batman comics I’ve read other than the Cataclysm/No Man’s Land run. I picked up War of Jokes and Riddles and Road to No Man’s Land today but what other runs would y’all recommend? Other than Joker shit because meh.,-0.155,False
The Batman,0,2022-03-28T21:18:12.000Z,I beat you to it seo listical pop culture clickbait sites  Top 10 #slaps  10. Smith/rock 9. Batman meme 8. Moonstruck 7. Real world: Seattle 6. Airplane 5. Chinatown 4. Stossel/dr d 3. Smacked out the body gif 2. Charlie Murphy/Rick James  1. Lawler/Kaufman,0.35,False
The Batman,0,2022-03-28T16:37:54Z,If all the pearls being clutched today weren't just metaphorical we would never again see the Batman Pearl Problem onscreen because *everyone* would understand they just don't break that way.,0.0,False
The Batman,0,2022-03-28T02:56:52Z,I think we can retire the Batman slaps Robin meme now,0.0,False
The Batman,0,2022-03-28T02:56:07Z,This is the new Batman slaps Robin meme,0.1364,False
The Batman,0,2022-03-27T23:14:36Z,Good article.  Again the DCAU found the best balance for this. The two have philosophical differences but one isn't painted as the pure representation of one side. https://www.polygon.com/22981616/batman-vs-superman-comics-movie-debate,0.4786,True
The Batman,0,2022-03-27T22:27:20Z,“The Batman” was pretty darn good!,0.5625,True
The Batman,0,2022-03-27T15:42:39Z,"Taking my son to see ""The Batman"" today. I have high expectations based on the the buzz.",0.16,False
